n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s
40,25,0.00000000,0.00100000,0.59200000,0.12100000,0.59200000,0.12200000
40,26,0.00000000,0.00100000,0.61900000,0.09800000,0.61900000,0.09900000
40,27,0.00000000,0.00100000,0.59100000,0.15400000,0.59100000,0.15500000
40,28,0.00000000,0.00100000,0.62800000,0.15600000,0.62800000,0.15700000
40,29,0.00000000,0.00100000,0.62200000,0.14300000,0.62200000,0.14400000
40,30,0.00000000,0.00100000,0.61800000,0.10700000,0.61800000,0.10800000
40,31,0.00000000,0.00100000,0.64700000,0.09400000,0.64700000,0.09500000
40,32,0.00000000,0.00100000,0.59500000,0.10500000,0.59500000,0.10600000
40,33,0.00000000,0.00100000,0.65100000,0.13000000,0.65100000,0.13100000
40,34,0.00000000,0.00100000,0.58400000,0.06900000,0.58400000,0.07000000
40,35,0.00000000,0.00100000,0.62100000,0.14100000,0.62100000,0.14200000
40,36,0.00000000,0.00100000,0.56300000,0.11200000,0.56300000,0.11300000
40,37,0.00000000,0.00100000,0.51000000,0.12900000,0.51000000,0.13000000
40,38,0.00000000,0.00200000,0.60200000,0.13400000,0.60200000,0.13600000
40,39,0.00000000,0.00100000,0.70000000,0.08000000,0.70000000,0.08100000
40,40,0.00000000,0.00100000,0.57500000,0.18100000,0.57500000,0.18200000
40,41,0.00000000,0.00100000,0.60200000,0.10600000,0.60200000,0.10700000
40,42,0.00000000,0.00100000,0.63000000,0.12800000,0.63000000,0.12900000
40,43,0.00000000,0.00100000,0.65800000,0.10000000,0.65800000,0.10100000
40,44,0.00000000,0.00200000,0.61800000,0.14200000,0.61800000,0.14400000
40,45,0.00000000,0.00100000,0.66600000,0.11100000,0.66600000,0.11200000
40,46,0.00000000,0.00100000,0.59200000,0.16100000,0.59200000,0.16200000
40,47,0.00000000,0.00100000,0.58800000,0.14300000,0.58800000,0.14400000
40,48,0.00000000,0.00100000,0.56600000,0.12900000,0.56600000,0.13000000
40,49,0.00000000,0.00200000,0.65000000,0.17800000,0.65000000,0.18000000
40,50,0.00000000,0.00100000,0.55500000,0.14000000,0.55500000,0.14100000
40,51,0.00000000,0.00200000,0.56500000,0.06800000,0.56500000,0.07000000
40,52,0.00000000,0.00100000,0.61200000,0.11500000,0.61200000,0.11600000
40,53,0.00000000,0.00100000,0.55800000,0.08400000,0.55800000,0.08500000
40,54,0.00000000,0.00100000,0.58900000,0.10600000,0.58900000,0.10700000
40,55,0.00000000,0.00100000,0.55200000,0.11800000,0.55200000,0.11900000
40,56,0.00000000,0.00200000,0.61500000,0.14200000,0.61500000,0.14400000
40,57,0.00000000,0.00100000,0.56900000,0.12800000,0.56900000,0.12900000
40,58,0.00000000,0.00100000,0.62000000,0.11500000,0.62000000,0.11600000
40,59,0.00000000,0.00100000,0.59900000,0.12800000,0.59900000,0.12900000
40,60,0.00000000,0.00100000,0.57300000,0.11300000,0.57300000,0.11400000
40,61,0.00000000,0.00100000,0.62100000,0.09200000,0.62100000,0.09300000
40,62,0.00000000,0.00100000,0.58700000,0.09600000,0.58700000,0.09700000
40,63,0.00100000,0.00100000,0.58900000,0.13400000,0.59000000,0.13500000
40,64,0.00000000,0.00100000,0.65900000,0.11300000,0.65900000,0.11400000
40,65,0.00000000,0.00100000,0.59500000,0.12900000,0.59500000,0.13000000
40,66,0.00000000,0.00200000,0.60100000,0.13800000,0.60100000,0.14000000
40,67,0.00000000,0.00100000,0.64300000,0.14500000,0.64300000,0.14600000
40,68,0.00000000,0.00100000,0.67800000,0.09900000,0.67800000,0.10000000
40,69,0.00000000,0.00100000,0.67400000,0.11800000,0.67400000,0.11900000
40,70,0.00000000,0.00100000,0.63200000,0.11700000,0.63200000
