n,tGen,thetaNO,thetaBH,tNO,tBH
13,8.2e-06,3.3e-06,0.0002204,0.0095091,0.0021263
13,7e-06,2.8e-06,0.0002016,0.0072949,0.0028744
13,6.6e-06,2.7e-06,0.0002046,0.0106571,0.0035454
13,6.6e-06,2.6e-06,0.0002064,0.0086222,0.0032975
13,8.8e-06,3.3e-06,0.0002768,0.0086489,0.0022227
13,7e-06,2.8e-06,0.0001941,0.0106046,0.0022509
13,8.7e-06,3.3e-06,0.0002583,0.0096109,0.0025984
13,8.3e-06,3.3e-06,0.0002441,0.0089865,0.0018475
13,8.5e-06,3.4e-06,0.0002583,0.0134605,0.0018057
13,8.2e-06,3.3e-06,0.0002569,0.0092289,0.0007448
13,8e-06,3.3e-06,0.0002588,0.009795,0.0026425
14,9.5e-06,9.5e-06,0.000225,0.0094284,0.0041237
14,9.4e-06,3.6e-06,0.0003015,0.0122685,0.0029437
14,7.6e-06,2.9e-06,0.0002515,0.0098332,0.0024186
14,8.8e-06,3.5e-06,0.0003233,0.0145814,0.0028595
14,9.4e-06,3.5e-06,0.0002924,0.0110127,0.003346
14,7.5e-06,2.9e-06,0.0002489,0.0113765,0.0031979
14,6.9e-06,2.8e-06,0.0002469,0.0114436,0.0029129
14,9.4e-06,3.6e-06,0.0003066,0.0089548,0.0032633
14,7.2e-06,2.9e-06,0.0002436,0.0104772,0.0036471
14,7.1e-06,2.7e-06,0.0002403,0.0125485,0.0023412
14,9.3e-06,3.7e-06,0.0003151,0.0093374,0.002979
14,7.2e-06,2.9e-06,0.000251,0.0101753,0.003073
14,9.2e-06,3.6e-06,0.0003501,0.0114712,0.0041785
14,7.6e-06,2.9e-06,0.000248,0.0110133,0.0046796
14,9e-06,3.5e-06,0.0002967,0.0114453,0.004067
14,9.4e-06,3.6e-06,0.000315,0.0115344,0.0034852
14,8.8e-06,3.6e-06,0.0003011,0.0122857,0.0026499
14,9.3e-06,3.6e-06,0.0003031,0.0119948,0.0033001
14,7.4e-06,2.9e-06,0.0002477,0.0115092,0.0034324
14,9.5e-06,3.5e-06,0.0003097,0.0103755,0.0021427
15,1.15e-05,3.7e-06,0.0003661,0.0125018,0.0019972
15,9.1e-06,3e-06,0.0002731,0.0163578,0.0027882
15,7.6e-06,2.9e-06,0.0002922,0.0122409,0.0290338
15,8e-06,3.1e-06,0.0002933,0.0229151,0.0037117
15,8.2e-06,3e-06,0.0004178,0.0134437,0.0041628
15,1e-05,3.8e-06,0.0005495,0.0125421,0.0024759
15,1.12e-05,3.7e-06,0.0004651,0.0107092,0.0034222
15,9.7e-06,3.8e-06,0.0003188,0.0171276,0.0019282
15,9.8e-06,3.7e-06,0.0003096,0.0145865,0.0037279
15,1.01e-05,3.8e-06,0.00035,0.011268,0.0041924
15,1.01e-05,3.6e-06,0.0003776,0.0155313,0.0043089
15,7.8e-06,3e-06,0.0003831,0.0140198,0.0014827
15,1.91e-05,4.5e-06,0.0002714,0.012087,0.0025346
15,8.2e-06,2.9e-06,0.0002786,0.0163111,0.0020423
15,9.5e-06,3.6e-06,0.0003663,0.0170371,0.0031663
15,1.02e-05,3.8e-06,0.0004275,0.0114738,0.0034633
15,8.3e-06,2.9e-06,0.000377,0.0135851,0.0046351
15,8.2e-06,3.3e-06,0.0002986,0.0126907,0.003117
15,9.8e-06,3.7e-06,0.0003683,0.0132116,0.002342
15,1.02e-05,3.8e-06,0.0003497,0.0132196,0.0050227
16,1.87e-05,2.7e-06,0.0004411,0.0185233,0.0048293
16,9.4e-06,3.2e-06,0.0004331,0.013936,0.0043522
16,1.09e-05,3.8e-06,0.0004888,0.0115185,0.0042398
16,1.08e-05,3.8e-06,0.0004279,0.0141669,0.005279
16,1.1e-05,3.7e-06,0.0004283,0.0160461,0.0049165
16,1.1e-05,3.8e-06,0.0004412,0.0134233,0.0036866
16,8.8e-06,3e-06,0.0003481,0.0144654,0.0047344
16,1.03e-05,3.6e-06,0.0004014,0.0164714,0.0049261
16,1.09e-05,3.8e-06,0.0004741,0.0157846,0.0025342
16,1.04e-05,3.7e-06,0.0004461,0.0146749,0.0047919
16,8.1e-06,2.9e-06,0.0003476,0.0130709,0.0043228
16,8.9e-06,3.1e-06,0.0008013,0.0173441,0.0056991
16,8.8e-06,3.1e-06,0.0003502,0.0141319,0.0054103
16,1.08e-05,4e-06,0.0003995,0.0134847,0.0024662
16,8.9e-06,0.0001564,0.0003402,0.0117913,0.0043797
16,8e-06,2.9e-06,0.000377,0.0117269,0.0058483
16,1.08e-05,3.8e-06,0.0004711,0.0122646,0.0044557
16,1.09e-05,3.9e-06,0.000458,0.0160493,0.0036985
16,1.09e-05,3.8e-06,0.0004475,0.01291,0.0054349
16,8.4e-06,3.1e-06,0.0003571,0.0153977,0.0021529
17,1.32e-05,4.1e-06,0.0005271,0.0164722,0.0060158
17,1.29e-05,4.1e-06,0.000471,0.0160485,0.00461
17,9.3e-06,3.3e-06,0.0004779,0.0166442,0.0048113
17,1.18e-05,3.9e-06,0.0005118,0.0164942,0.0034777
17,9.4e-06,3.2e-06,0.0004022,0.0166084,0.0039705
17,8.8e-06,3.1e-06,0.0004257,0.0137889,0.0049386
17,1.1e-05,3.7e-06,0.000504,0.0159444,0.0035471
17,9e-06,3.1e-06,0.0005439,0.0162896,0.0055193
17,9.3e-06,3.2e-06,0.0005902,0.01887,0.0028357
17,1.17e-05,3.9e-06,0.0005181,0.0156287,0.0036558
17,1.12e-05,3.8e-06,0.0005297,0.0135786,0.0027458
17,9.4e-06,3.1e-06,0.0004101,0.0140881,0.0059813
17,1.17e-05,3.9e-06,0.0004976,0.0183417,0.0049006
17,9.5e-06,3.2e-06,0.0003802,0.021337,0.0045228
17,1.11e-05,3.9e-06,0.0005164,0.0145192,0.0060885
17,1.11e-05,3.9e-06,0.0005313,0.0142728,0.0040541
17,9e-06,3.1e-06,0.0004181,0.0130635,0.0051558
17,9.4e-06,3.2e-06,0.0003892,0.0149999,0.0019629
17,9.5e-06,3.2e-06,0.0005606,0.0162815,0.003156
17,1.13e-05,3.9e-06,0.0005517,0.0163058,0.0041162
18,1.43e-05,4.4e-06,0.000587,0.0166984,0.0047176
18,1.04e-05,3.3e-06,0.0004995,0.0191722,0.0062302
18,9.5e-06,3.2e-06,0.0005376,0.0185083,0.0028446
18,1.19e-05,4e-06,0.0005809,0.0496174,0.0024645
18,1.2e-05,4.1e-06,0.0006166,0.0170577,0.006418
18,1e-05,3.3e-06,0.0004806,0.0189351,0.0056259
18,9.6e-06,3.3e-06,0.0004484,0.0172027,0.0050909
18,9.7e-06,3.2e-06,0.0004786,0.0203206,0.0050993
18,9.7e-06,3.2e-06,0.0007265,0.0167276,0.0060568
18,2.06e-05,3.8e-06,0.0005861,0.0167742,0.0034056
18,1.24e-05,4.1e-06,0.0006147,0.0220477,0.005188
18,1e-05,3.3e-06,0.0004913,0.0191295,0.0056567
18,1.24e-05,4e-06,0.0006583,0.0151966,0.0038532
18,1.25e-05,4.2e-06,0.0006983,0.017488,0.0057743
18,1.24e-05,4.1e-06,0.0006041,0.017305,0.0041361
18,1.19e-05,3.3e-06,0.0006133,0.0150882,0.0042241
18,1.21e-05,4e-06,0.0006125,0.0134212,0.0047776
18,1e-05,3.3e-06,0.000795,0.0180683,0.0040047
18,1.25e-05,4e-06,0.0005901,0.0209164,0.0047998
18,9.6e-06,3.2e-06,0.000599,0.0174075,0.0038076
19,2.24e-05,1.44e-05,0.0006746,0.0241847,0.0068331
19,1.41e-05,4.2e-06,0.0007067,0.0190639,0.005596
19,1.08e-05,3.2e-06,0.0005595,0.021204,0.003899
19,1.28e-05,4.1e-06,0.0007132,0.0172332,0.0055339
19,0.0001041,1.66e-05,0.0007792,0.0207846,0.0066889
19,1.09e-05,3.5e-06,0.0005637,0.0211469,0.0041953
19,1.31e-05,4.2e-06,0.0006909,0.0216691,0.0054235
19,1.04e-05,3.3e-06,0.0005519,0.0150465,0.0048325
19,1.36e-05,4e-06,0.0006998,0.0199656,0.0056715
19,1.3e-05,4e-06,0.0006486,0.019346,0.003677
19,1.6e-05,4.9e-06,0.0007654,0.0191409,0.0042198
19,1.04e-05,3.3e-06,0.0005717,0.0218332,0.0045387
19,1.04e-05,3.3e-06,0.0005138,0.0168992,0.0062503
19,1.63e-05,5.1e-06,0.0007086,0.019384,0.0057778
19,1.07e-05,3.5e-06,0.0005418,0.0201291,0.0049097
19,1.04e-05,3.3e-06,0.0005719,0.015604,0.0046
19,1.08e-05,3.4e-06,0.0005495,0.020861,0.0032669
19,1.29e-05,4.2e-06,0.0007192,0.0213963,0.0071304
19,1.04e-05,3.3e-06,0.0005541,0.0202135,0.0068587
19,1.08e-05,3.5e-06,0.000841,0.022562,0.0058546
22,1.45e-05,3.1e-06,0.000828,0.0259206,0.003609
22,1.68e-05,4.5e-06,0.0010732,0.027054,0.0042549
22,1.28e-05,3.6e-06,0.0008232,0.026077,0.0085394
22,1.31e-05,3.6e-06,0.0008259,0.0206992,0.0067107
22,1.31e-05,3.7e-06,0.0008046,0.0263006,0.0078257
22,1.81e-05,4.5e-06,0.0009399,0.0249432,0.0046474
22,1.64e-05,4.7e-06,0.000924,0.0257193,0.0066099
22,1.31e-05,3.6e-06,0.0008173,0.0249258,0.0066813
22,1.63e-05,4.3e-06,0.001087,0.0493779,0.0078015
22,1.63e-05,4.5e-06,0.0010554,0.0226895,0.0078162
22,1.6e-05,4.4e-06,0.0008729,0.0245126,0.0079299
22,1.73e-05,4e-06,0.0010243,0.022369,0.0081232
22,1.26e-05,3.5e-06,0.0008326,0.028463,0.0055579
22,1.31e-05,3.7e-06,0.0008569,0.0284503,0.0086347
22,2.18e-05,2.87e-05,0.0013316,0.0267718,0.0084854
22,1.63e-05,4.5e-06,0.0008664,0.0283565,0.0081677
22,1.64e-05,4.5e-06,0.0010464,0.0266861,0.010443
22,1.36e-05,3.2e-06,0.0008116,0.020021,0.0055885
22,1.6e-05,4.5e-06,0.0010907,0.0212284,0.007524
22,1.55e-05,4.5e-06,0.001074,0.0210948,0.0099906
24,2.27e-05,4.9e-06,0.0012824,0.0337432,0.0074362
24,2.07e-05,4.4e-06,0.0012813,0.0337252,0.0041985
24,1.83e-05,4.2e-06,0.0013389,0.0319206,0.0107057
24,1.47e-05,3.4e-06,0.0010339,0.0297348,0.0091264
24,1.86e-05,4.3e-06,0.0011956,0.0287714,0.0063539
24,1.84e-05,4.1e-06,0.0012831,0.0315674,0.0066612
24,1.86e-05,4.3e-06,0.0011011,0.0350087,0.0074346
24,1.59e-05,3.5e-06,0.0010541,0.0305325,0.0069081
24,1.94e-05,4.2e-06,0.0013108,0.0298241,0.0076232
24,1.86e-05,4.2e-06,0.0013516,0.0287081,0.0049501
24,1.9e-05,4.1e-06,0.0014302,0.027673,0.0094994
24,1.56e-05,3.6e-06,0.0011204,0.0294147,0.0094854
24,1.84e-05,4.2e-06,0.0012112,0.0237043,0.0059408
24,1.56e-05,3.5e-06,0.0012001,0.0272928,0.0094536
24,1.91e-05,4.3e-06,0.0012793,0.0338314,0.0075413
24,1.9e-05,4.3e-06,0.0015918,0.0284873,0.0064147
24,1.93e-05,4.4e-06,0.0012644,0.0280333,0.0083257
24,1.48e-05,3.4e-06,0.0012849,0.033386,0.0068007
24,1.52e-05,3.3e-06,0.0010334,0.0311057,0.0097413
24,1.48e-05,3.4e-06,0.0012601,0.030105,0.006456
26,2.03e-05,4.1e-06,0.0013948,0.0647352,0.0077951
26,2.28e-05,5.3e-06,0.0016311,0.0345764,0.0098688
26,2.14e-05,5e-06,0.0015664,0.0364887,0.008582
26,1.78e-05,4.1e-06,0.0013282,0.0365317,0.0100492
26,2.29e-05,3.9e-06,0.0016828,0.0302413,0.0125759
26,1.73e-05,4.1e-06,0.0015552,0.035107,0.0086442
26,2.15e-05,5e-06,0.0015734,0.032821,0.0126065
26,2.15e-05,5.2e-06,0.0014641,0.0345629,0.0105827
26,2.11e-05,4.9e-06,0.0017,0.0352184,0.0070406
26,2.16e-05,5e-06,0.0016797,0.0378952,0.010092
26,1.74e-05,4e-06,0.0013263,0.0389675,0.0110837
26,2.15e-05,5e-06,0.0019243,0.0385385,0.0091242
