n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s,theta_NO_numba_s,theta_BH_numba_s
1,64,2.59999796980992e-06,5.699999746866524e-06,9.499999578110874e-06,9.300005331169814e-06,1.2099997547920792e-05,1.5000005078036338e-05,2.000000677071512e-06,2.4999972083605826e-06
1,65,2.59999796980992e-06,5.800000508315861e-06,9.499999578110874e-06,9.499999578110874e-06,1.2099997547920792e-05,1.5300000086426735e-05,1.8999999156221747e-06,2.59999796980992e-06
1,66,2.5000044843181968e-06,5.900001269765198e-06,1.000000338535756e-05,1.09999964479357e-05,1.2500007869675756e-05,1.68999977177009e-05,2.1000014385208488e-06,2.5000044843181968e-06
1,67,2.6999987312592566e-06,5.800000508315861e-06,1.0399999155197293e-05,9.700001101009548e-06,1.309999788645655e-05,1.550000160932541e-05,2.1000014385208488e-06,2.5000044843181968e-06
1,68,2.40000372286886e-06,5.699999746866524e-06,9.60000033956021e-06,9.399998816661537e-06,1.200000406242907e-05,1.509999856352806e-05,2.000000677071512e-06,2.4999972083605826e-06
1,69,2.5000044843181968e-06,5.699999746866524e-06,9.60000033956021e-06,9.2999980552122e-06,1.2100004823878407e-05,1.4999997802078724e-05,2.000000677071512e-06,2.5000044843181968e-06
1,70,2.4999972083605826e-06,6.400005077011883e-06,9.800001862458885e-06,9.499999578110874e-06,1.2299999070819467e-05,1.5900004655122757e-05,1.8999999156221747e-06,2.59999796980992e-06
1,71,2.6000052457675338e-06,5.800000508315861e-06,9.499999578110874e-06,9.399998816661537e-06,1.2100004823878407e-05,1.5199999324977398e-05,2.000000677071512e-06,2.5000044843181968e-06
1,72,2.4999972083605826e-06,1.1299998732283711e-05,9.499999578110874e-06,9.399998816661537e-06,1.1999996786471456e-05,2.0699997548945248e-05,1.9999934011138976e-06,2.4999972083605826e-06
1,73,2.59999796980992e-06,5.899993993807584e-06,9.60000033956021e-06,9.300005331169814e-06,1.219999830937013e-05,1.5199999324977398e-05,1.9999934011138976e-06,2.3999964469112456e-06
1,74,2.59999796980992e-06,5.899993993807584e-06,9.900002623908222e-06,9.60000033956021e-06,1.250000059371814e-05,1.5499994333367795e-05,2.000000677071512e-06,2.5000044843181968e-06
1,75,2.6000052457675338e-06,5.900001269765198e-06,9.700001101009548e-06,9.399998816661537e-06,1.230000634677708e-05,1.5300000086426735e-05,2.000000677071512e-06,2.4999972083605826e-06
1,76,2.5000044843181968e-06,5.599998985417187e-06,9.499999578110874e-06,9.099996532313526e-06,1.200000406242907e-05,1.4699995517730711e-05,2.000000677071512e-06,2.4999972083605826e-06
1,77,2.3999964469112456e-06,5.699999746866524e-06,9.700001101009548e-06,9.399998816661537e-06,1.2099997547920792e-05,1.509999856352806e-05,2.000000677071512e-06,2.4999972083605826e-06
1,78,2.5000044843181968e-06,5.900001269765198e-06,9.79999458650127e-06,1.0399999155197293e-05,1.2299999070819467e-05,1.630000042496249e-05,2.000000677071512e-06,2.4999972083605826e-06
1,79,2.59999796980992e-06,5.900001269765198e-06,1.2399999832268804e-05,1.0600000678095968e-05,1.4999997802078724e-05,1.6500001947861165e-05,2.2000021999701858e-06,2.59999796980992e-06
1,80,3.4999975468963385e-06,7.300004654098302e-06,1.250000059371814e-05,1.0700001439545304e-05,1.599999814061448e-05,1.8000006093643606e-05,2.1000014385208488e-06,2.4999972083605826e-06
1,81,2.90000025415793e-06,6.800000846851617e-06,1.049999991664663e-05,1.0200004908256233e-05,1.340000017080456e-05,1.700000575510785e-05,2.2000021999701858e-06,2.6000052457675338e-06
1,82,2.6999987312592566e-06,6.200003554113209e-06,9.899995347950608e-06,1.0399999155197293e-05,1.2599994079209864e-05,1.6600002709310502e-05,2.1000014385208488e-06,2.5000044843181968e-06
1,83,2.7000060072168708e-06,6.000002031214535e-06,1.0299998393747956e-05,1.0599993402138352e-05,1.3000004400964826e-05,1.6599995433352888e-05,1.9999934011138976e-06,2.59999796980992e-06
1,84,2.7999994927085936e-06,6.000002031214535e-06,1.049999991664663e-05,1.0100004146806896e-05,1.3299999409355223e-05,1.610000617802143e-05,2.0999941625632346e-06,2.59999796980992e-06
1,85,2.59999796980992e-06,5.699999746866524e-06,9.800001862458885e-06,9.700001101009548e-06,1.2399999832268804e-05,1.5400000847876072e-05,2.000000677071512e-06,2.6999987312592566e-06
1,86,2.4999972083605826e-06,5.599998985417187e-06,9.700001101009548e-06,9.899995347950608e-06,1.219999830937013e-05,1.5499994333367795e-05,2.1000014385208488e-06,2.40000372286886e-06
1,87,2.4999972083605826e-06,5.599998985417187e-06,9.700001101009548e-06,9.700001101009548e-06,1.219999830937013e-05,1.5300000086426735e-05,2.000000677071512e-06,2.3000029614195228e-06
1,88,2.59999796980992e-06,5.900001269765198e-06,9.899995347950608e-06,9.700001101009548e-06,1.2499993317760529e-05,1.5600002370774746e-05,2.000000677071512e-06,2.40000372286886e-06
1,89,2.5000044843181968e-06,5.999994755256921e-06,9.700001101009548e-06,9.300005331169814e-06,1.2200005585327744e-05,1.5300000086426735e-05,1.9999934011138976e-06,2.59999796980992e-06
1,90,2.4999972083605826e-06,5.700007022824138e-06,9.499999578110874e-06,9.499999578110874e-06,1.1999996786471456e-05,1.5200006600935012e-05,1.9999934011138976e-06,2.3999964469112456e-06
1,91,2.59999796980992e-06,5.699999746866524e-06,9.60000033956021e-06,9.700001101009548e-06,1.219999830937013e-05,1.5400000847876072e-05,1.8999999156221747e-06,2.4999972083605826e-06
